epoch;epsilon;loss;rougeF1;rougeRecall;rougePrecision;actual;pred
121; 0.400; 0.044124; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.214}; {min=-0.496, max=0.253}
122; 0.395; 0.045353; 0.500000; 0.428571; 0.600000; {min=-0.647, max=0.247}; {min=-0.494, max=0.266}
123; 0.390; 0.046017; 0.833333; 0.714286; 1.000000; {min=-0.647, max=0.247}; {min=-0.507, max=0.228}
124; 0.385; 0.055437; 0.500000; 0.428571; 0.600000; {min=-0.647, max=0.247}; {min=-0.503, max=0.241}
125; 0.380; 0.046153; 0.352941; 0.214286; 1.000000; {min=-1.000, max=0.353}; {min=-0.504, max=0.084}
126; 0.375; 0.036789; 0.285714; 0.214286; 0.428571; {min=-0.647, max=0.000}; {min=-0.494, max=0.105}
127; 0.370; 0.141904; 0.444444; 0.285714; 1.000000; {min=-1.000, max=0.444}; {min=-0.491, max=0.122}
128; 0.365; 0.041038; 0.500000; 0.428571; 0.600000; {min=-0.647, max=0.247}; {min=-0.481, max=0.295}
129; 0.360; 0.057608; 0.500000; 0.428571; 0.600000; {min=-0.647, max=0.247}; {min=-0.491, max=0.267}
130; 0.355; 0.102152; 0.363636; 0.285714; 0.500000; {min=-1.000, max=0.380}; {min=-0.499, max=0.111}
131; 0.350; 0.148087; 0.560000; 0.500000; 0.636364; {min=-1.000, max=0.353}; {min=-0.517, max=0.118}
132; 0.345; 0.091917; 0.560000; 0.500000; 0.636364; {min=-1.000, max=0.353}; {min=-0.536, max=0.144}
133; 0.340; 0.096406; 0.560000; 0.500000; 0.636364; {min=-1.000, max=0.353}; {min=-0.548, max=0.169}
134; 0.335; 0.070627; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.589, max=0.307}
135; 0.330; 0.041852; 0.555556; 0.714286; 0.454545; {min=-0.701, max=0.157}; {min=-0.594, max=0.418}
136; 0.325; 0.084143; 0.560000; 0.500000; 0.636364; {min=-1.000, max=0.353}; {min=-0.594, max=0.151}
137; 0.320; 0.047357; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.214}; {min=-0.621, max=0.300}
138; 0.315; 0.033872; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.618, max=0.310}
139; 0.310; 0.034413; 0.625000; 0.714286; 0.555556; {min=-0.701, max=0.214}; {min=-0.623, max=0.360}
140; 0.305; 0.011153; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.214}; {min=-0.628, max=0.282}
141; 0.300; 0.036422; 0.600000; 0.428571; 1.000000; {min=-0.647, max=0.247}; {min=-0.626, max=0.288}
142; 0.295; 0.049630; 0.714286; 0.714286; 0.714286; {min=-0.701, max=0.214}; {min=-0.622, max=0.344}
143; 0.290; 0.055492; 0.500000; 0.428571; 0.600000; {min=-0.647, max=0.247}; {min=-0.626, max=0.267}
144; 0.285; 0.039321; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.636, max=0.225}
145; 0.280; 0.039300; 0.833333; 0.714286; 1.000000; {min=-0.647, max=0.247}; {min=-0.626, max=0.251}
146; 0.275; 0.029738; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.624, max=0.254}
147; 0.270; 0.025934; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.620, max=0.263}
148; 0.265; 0.130323; 0.560000; 0.500000; 0.636364; {min=-1.000, max=0.353}; {min=-0.622, max=0.112}
149; 0.260; 0.015782; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.653, max=0.275}
150; 0.255; 0.031080; 0.500000; 0.428571; 0.600000; {min=-0.647, max=0.247}; {min=-0.655, max=0.266}
151; 0.250; 0.047396; 0.500000; 0.428571; 0.600000; {min=-0.647, max=0.247}; {min=-0.661, max=0.235}
152; 0.245; 0.023439; 0.500000; 0.428571; 0.600000; {min=-0.647, max=0.247}; {min=-0.658, max=0.228}
153; 0.240; 0.017119; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.665, max=0.190}
154; 0.235; 0.013774; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.654, max=0.217}
155; 0.230; 0.028926; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.644, max=0.240}
156; 0.225; 0.092455; 0.560000; 0.500000; 0.636364; {min=-1.000, max=0.353}; {min=-0.643, max=0.097}
157; 0.220; 0.018795; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.214}; {min=-0.668, max=0.267}
158; 0.215; 0.028920; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.660, max=0.288}
159; 0.210; 0.017652; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.247}; {min=-0.659, max=0.287}
160; 0.205; 0.017813; 0.833333; 0.714286; 1.000000; {min=-0.647, max=0.247}; {min=-0.664, max=0.272}
